Product_Name,Comment_Count,Link
Samsung Galaxy M32 128 GB (Samsung Türkiye Garantili) Mavi,4536,https://www.hepsiburada.com/samsung-galaxy-m32-128-gb-samsung-turkiye-garantili-mavi-p-HBCV00000NR6PY
iPhone 14 128 GB Beyaz,4507,https://www.hepsiburada.com/iphone-14-128-gb-beyaz-p-HBCV00002VUQ7S
iPhone 14 128 GB Siyah,4507,https://www.hepsiburada.com/iphone-14-128-gb-siyah-p-HBCV00002VUQ7R
iPhone 14 128 GB Mor,4507,https://www.hepsiburada.com/iphone-14-128-gb-mor-p-HBCV00002VUQ7T
iPhone 14 128 GB Mavi,4507,https://www.hepsiburada.com/iphone-14-128-gb-mavi-p-HBCV00002VUQ7U
iPhone 14 128 GB Kırmızı,4507,https://www.hepsiburada.com/iphone-14-128-gb-kirmizi-p-HBCV00002VUR51
iPhone 14 128 GB Sarı,4507,https://www.hepsiburada.com/iphone-14-128-gb-sari-p-HBCV00003XVYI7
Samsung Galaxy A34 128 GB 8 GB Ram (Samsung Türkiye Garantili) Siyah,4497,https://www.hepsiburada.com/samsung-galaxy-a34-128-gb-8-gb-ram-samsung-turkiye-garantili-siyah-p-HBCV000040I5H6
Samsung Galaxy A34 128 GB 8 GB Ram (Samsung Türkiye Garantili) Gümüş,4497,https://www.hepsiburada.com/samsung-galaxy-a34-128-gb-8-gb-ram-samsung-turkiye-garantili-gumus-p-HBCV000040I5H7
Samsung Galaxy A34 128 GB 8 GB Ram (Samsung Türkiye Garantili) Açık Yeşil,4497,https://www.hepsiburada.com/samsung-galaxy-a34-128-gb-8-gb-ram-samsung-turkiye-garantili-acik-yesil-p-HBCV000040I6N3
iPhone SE 64 GB Siyah,4163,https://www.hepsiburada.com/iphone-se-64-gb-siyah-p-HBV0000122JDH
iPhone SE 64 GB Beyaz,4163,https://www.hepsiburada.com/iphone-se-64-gb-beyaz-p-HBV0000122JDI
iPhone SE 64 GB Kırmızı,4163,https://www.hepsiburada.com/iphone-se-64-gb-kirmizi-p-HBV0000122JDJ
Reeder P13 Blue Max Pro 2021 128 GB 6 GB Ram (Reeder Türkiye Garantili) Siyah,4124,https://www.hepsiburada.com/reeder-p13-blue-max-pro-2021-128-gb-6-gb-ram-reeder-turkiye-garantili-siyah-p-HBCV00006T65V9
Reeder P13 Blue Max Pro 2021 128 GB 8 GB Ram (Reeder Türkiye Garantili) MAVİ RENK,4124,https://www.hepsiburada.com/reeder-p13-blue-max-pro-2021-128-gb-8-gb-ram-reeder-turkiye-garantili-mavi-renk-p-HBCV00000XPLR9
Reeder P13 Blue Max Pro 2021 128 GB 6 GB Ram (Reeder Türkiye Garantili) Beyaz,4124,https://www.hepsiburada.com/reeder-p13-blue-max-pro-2021-128-gb-6-gb-ram-reeder-turkiye-garantili-beyaz-p-HBCV0000104OBA
Xiaomi Mi Note 10 Lite 128 GB 6 GB Ram (Xiaomi Türkiye Garantiili) Siyah,4089,https://www.hepsiburada.com/xiaomi-mi-note-10-lite-128-gb-6-gb-ram-xiaomi-turkiye-garantiili-siyah-p-HBV00000TOMQB
Xiaomi Mi Note 10 Lite 128 GB 6 GB Ram (Xiaomi Türkiye Garantiili) Beyaz,4089,https://www.hepsiburada.com/xiaomi-mi-note-10-lite-128-gb-6-gb-ram-xiaomi-turkiye-garantiili-beyaz-p-HBV00000TOMQC
Xiaomi Mi Note 10 Lite 128 GB 6 GB Ram (Xiaomi Türkiye Garantiili) Mor,4089,https://www.hepsiburada.com/xiaomi-mi-note-10-lite-128-gb-6-gb-ram-xiaomi-turkiye-garantiili-mor-p-HBV00000TOMQD
Samsung Galaxy M23 5G 128 GB (Samsung Türkiye Garantili) Yeşil,4055,https://www.hepsiburada.com/samsung-galaxy-m23-5g-128-gb-samsung-turkiye-garantili-yesil-p-HBCV00001RIT5C
Samsung Galaxy M23 5G 128 GB (Samsung Türkiye Garantili) Mavi,4055,https://www.hepsiburada.com/samsung-galaxy-m23-5g-128-gb-samsung-turkiye-garantili-mavi-p-HBCV00001RIT5B
Samsung Galaxy M12 64 GB (Samsung Türkiye Garantili) Yeşil,4016,https://www.hepsiburada.com/samsung-galaxy-m12-64-gb-samsung-turkiye-garantili-yesil-p-HBCV000006SBN3
Samsung Galaxy M12 64 GB (Samsung Türkiye Garantili) Mavi,4016,https://www.hepsiburada.com/samsung-galaxy-m12-64-gb-samsung-turkiye-garantili-mavi-p-HBCV000006SBN2
Samsung Galaxy A21s 64 GB (Samsung Türkiye Garantili) Siyah,3639,https://www.hepsiburada.com/samsung-galaxy-a21s-64-gb-samsung-turkiye-garantili-siyah-p-HBV00000V3WE7
Samsung Galaxy A21s 64 GB (Samsung Türkiye Garantili) Beyaz,3639,https://www.hepsiburada.com/samsung-galaxy-a21s-64-gb-samsung-turkiye-garantili-beyaz-p-HBV00000V3WE9
Xiaomi Redmi Note 10 Pro 256 GB 8 GB Ram (Xiaomi Türkiye Garantili) Gri,3638,https://www.hepsiburada.com/xiaomi-redmi-note-10-pro-256-gb-8-gb-ram-xiaomi-turkiye-garantili-gri-p-HBCV0000371C7D
Xiaomi Redmi Note 10 Pro 256 GB 8 GB Ram (Xiaomi Türkiye Garantili) Bronz,3638,https://www.hepsiburada.com/xiaomi-redmi-note-10-pro-256-gb-8-gb-ram-xiaomi-turkiye-garantili-bronz-p-HBCV0000371C7C
Xiaomi Redmi 12 128 GB 8 GB Ram (Xiaomi Türkiye Garantili) Siyah,3557,https://www.hepsiburada.com/xiaomi-redmi-12-128-gb-8-gb-ram-xiaomi-turkiye-garantili-siyah-p-HBCV000051HDNY
Xiaomi Redmi 12 128 GB 8 GB Ram (Xiaomi Türkiye Garantili) Gümüş,3557,https://www.hepsiburada.com/xiaomi-redmi-12-128-gb-8-gb-ram-xiaomi-turkiye-garantili-gumus-p-HBCV0000525GC4
Xiaomi Redmi 12 128 GB 8 GB Ram (Xiaomi Türkiye Garantili) Mavi,3557,https://www.hepsiburada.com/xiaomi-redmi-12-128-gb-8-gb-ram-xiaomi-turkiye-garantili-mavi-p-HBCV000051HDNZ
